"CustomerID","CustomerType","CustomerName","Email","Phone","RegistrationDate","Status"
1,"Individual","Test Customer 001","customer001@test.techpoint.local","3005550001",1/5/2025 0:00:00,"Active"
2,"Individual","Test Customer 002","customer002@test.techpoint.local","3005550002",1/8/2025 0:00:00,"Active"
3,"Individual","Test Customer 003","customer003@test.techpoint.local","3005550003",1/11/2025 0:00:00,"Active"
4,"Individual","Test Customer 004","customer004@test.techpoint.local","3005550004",1/14/2025 0:00:00,"Active"
5,"Individual","Test Customer 005","customer005@test.techpoint.local","3005550005",1/17/2025 0:00:00,"Active"
6,"Individual","Test Customer 006","customer006@test.techpoint.local","3005550006",1/20/2025 0:00:00,"Active"
7,"Individual","Test Customer 007","customer007@test.techpoint.local","3005550007",1/23/2025 0:00:00,"Active"
8,"Individual","Test Customer 008","customer008@test.techpoint.local","3005550008",1/26/2025 0:00:00,"Active"
9,"Individual","Test Customer 009","customer009@test.techpoint.local","3005550009",1/29/2025 0:00:00,"Active"
10,"Individual","Test Customer 010","customer010@test.techpoint.local","3005550010",2/1/2025 0:00:00,"Active"
11,"Individual","Test Customer 011","customer011@test.techpoint.local","3005550011",2/4/2025 0:00:00,"Active"
12,"Individual","Test Customer 012","customer012@test.techpoint.local","3005550012",2/7/2025 0:00:00,"Active"
13,"Individual","Test Customer 013","customer013@test.techpoint.local","3005550013",2/10/2025 0:00:00,"Active"
14,"Individual","Test Customer 014","customer014@test.techpoint.local","3005550014",2/13/2025 0:00:00,"Active"
15,"Individual","Test Customer 015","customer015@test.techpoint.local","3005550015",2/16/2025 0:00:00,"Active"
16,"Individual","Test Customer 016","customer016@test.techpoint.local","3005550016",2/19/2025 0:00:00,"Active"
17,"Individual","Test Customer 017","customer017@test.techpoint.local","3005550017",2/22/2025 0:00:00,"Active"
18,"Individual","Test Customer 018","customer018@test.techpoint.local","3005550018",2/25/2025 0:00:00,"Active"
19,"Individual","Test Customer 019","customer019@test.techpoint.local","3005550019",2/28/2025 0:00:00,"Active"
20,"Individual","Test Customer 020","customer020@test.techpoint.local","3005550020",3/3/2025 0:00:00,"Active"
21,"Individual","Test Customer 021","customer021@test.techpoint.local","3005550021",3/6/2025 0:00:00,"Active"
22,"Individual","Test Customer 022","customer022@test.techpoint.local","3005550022",3/9/2025 0:00:00,"Active"
23,"Individual","Test Customer 023","customer023@test.techpoint.local","3005550023",3/12/2025 0:00:00,"Active"
24,"Individual","Test Customer 024","customer024@test.techpoint.local","3005550024",3/15/2025 0:00:00,"Active"
25,"Individual","Test Customer 025","customer025@test.techpoint.local","3005550025",3/18/2025 0:00:00,"Active"
26,"Individual","Test Customer 026","customer026@test.techpoint.local","3005550026",3/21/2025 0:00:00,"Active"
27,"Individual","Test Customer 027","customer027@test.techpoint.local","3005550027",3/24/2025 0:00:00,"Active"
28,"Individual","Test Customer 028","customer028@test.techpoint.local","3005550028",3/27/2025 0:00:00,"Active"
29,"Individual","Test Customer 029","customer029@test.techpoint.local","3005550029",3/30/2025 0:00:00,"Active"
30,"Individual","Test Customer 030","customer030@test.techpoint.local","3005550030",4/2/2025 0:00:00,"Active"
31,"Individual","Test Customer 031","customer031@test.techpoint.local","3005550031",4/5/2025 0:00:00,"Active"
32,"Individual","Test Customer 032","customer032@test.techpoint.local","3005550032",4/8/2025 0:00:00,"Active"
33,"Individual","Test Customer 033","customer033@test.techpoint.local","3005550033",4/11/2025 0:00:00,"Active"
34,"Individual","Test Customer 034","customer034@test.techpoint.local","3005550034",4/14/2025 0:00:00,"Active"
35,"Individual","Test Customer 035","customer035@test.techpoint.local","3005550035",4/17/2025 0:00:00,"Active"
36,"Individual","Test Customer 036","customer036@test.techpoint.local","3005550036",4/20/2025 0:00:00,"Active"
